Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
Jun 28 (1),NYY,@,SLB,L3-6,CG,5,5,1,4,2,0,1,2,0,0,0,0,0,,0,,0,0,0.363,0.384,0.645,1.03,3,0.61,0.14,2.65,0.37%,2.22,LF,0.37%,2.22,LF
Jun 28 (2),NYY,@,SLB,W7-4,CG,5,5,1,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0.364,0.385,0.64,1.025,3,0.61,0.007,2.74,0.02%,0.11,RF,0.02%,0.11,RF
Jun 30 (1),NYY,,BOS,W10-5,CG,5,5,1,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0.361,0.381,0.631,1.012,3,1.09,-0.079,6.5,-0.28%,-0.69,LF,-0.28%,-0.69,LF
Jun 30 (2),NYY,,BOS,W6-3,CG,4,4,2,2,1,1,0,0,0,0,0,0,0,,0,,0,0,0.363,0.383,0.641,1.024,3,0.9,0.137,4.95,0.45%,0.43,LF,0.45%,0.43,LF
1-Jul,NYY,,BOS,W5-0,CG,4,4,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.357,0.377,0.631,1.008,3,0.74,-0.082,3.6,-0.24%,-1.2,LF,-0.24%,-1.2,LF
2-Jul,NYY,,BOS,W8-7,CG,5,5,0,2,1,0,0,3,0,0,0,0,0,,0,,0,0,0.358,0.377,0.63,1.008,3,2.27,0.012,10,0.03%,0.19,LF,0.03%,0.19,LF
Jul 4 (1),NYY,@,WSH,W4-3,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,,0,,0,0,0.355,0.374,0.622,0.996,3,0.66,-0.056,2.93,-0.15%,-0.85,RF,-0.15%,-0.85,RF
Jul 4 (2),NYY,@,WSH,W5-0,CG,5,5,2,3,1,0,1,2,0,,0,0,0,,,,0,0,0.36,0.378,0.637,1.015,3,,,,,,RF,,,RF
5-Jul,NYY,@,WSH,L3-9,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0.354,0.373,0.627,1,3,,,,,,RF,,,RF
9-Jul,NYY,,CLE,L4-11,CG,5,4,1,1,0,0,0,1,1,0,0,0,0,,0,,0,0,0.353,0.373,0.622,0.995,3,0.72,-0.062,2.67,-0.14%,-0.45,LF,-0.14%,-0.45,LF
10-Jul,NYY,,CLE,W18-0,CG,6,5,3,2,0,0,1,2,1,0,0,0,0,,1,,0,0,0.354,0.376,0.629,1.004,3,0.37,-0.076,1.56,-0.19%,1.42,LF,-0.19%,1.42,LF
11-Jul,NYY,,CLE,L2-10,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.349,0.371,0.62,0.99,3,0.33,-0.037,1.21,-0.08%,-1.64,LF,-0.08%,-1.64,LF
